ccode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CAF,11.16363502,13.4105958,13.47540816,14.3217662,13.64942329,14.41734417,16.13402062,18.28784119,17.55877133,20.2668502,19.64811775,14.65456267,15.47208652,16.2630476,21.58148623,16.42602151,11.17036487,11.81791156,13.23698247,10.47845138,13.93586792,12.93961878,12.34078237,12.28763362,10.98636552,9.01620147,8.225973698,8.161145004,7.309395139,7.539745042,7.285311851,6.772834543,4.507616604,4.399300751,3.956823876,4.159714052,4.508881983,4.416705796,4.897990653,4.512677883,4.746257023,6.109479139,5.84049758,6.183484712,7.160591845,6.898907878,6.705660372,6.785260826,7.020111129,6.962529158,8.30898125,9.180465421,10.77194141,13.57682599,12.7910233,11.7154336,12.31484324,11.21501773,12.34433199,11.70501456,11.70390713,11.7946888,,
CAN,18.54528219,18.29280818,18.80734636,19.16804476,20.01915433,22.20825431,28.46460643,31.13472375,32.37684315,33.71427488,33.39153784,35.68708774,38.90209308,40.84839357,41.76717333,43.15978821,44.9792462,48.1931926,53.03218432,55.67599072,56.41662745,69.87034352,68.06386711,63.00733891,62.61878066,63.22858566,63.30478704,64.08670186,66.22028605,69.80072337,73.06804735,74.98892092,76.52859823,75.53200176,74.75150637,73.95051352,78.63308499,81.53126878,79.86253981,77.25011087,73.98773849,121.3528318,117.8394564,113.2409804,115.4433131,121.661093,134.1208071,123.5336481,124.0977717,,,,,,,,,,,,,,,
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83577852,31.05883381,29.08806723,28.77991365,27.84792099,27.25092284,27.95355662,27.90990815,25.39663062,18.48284509,20.35632003,26.13255179,31.33366528,35.76587666,42.09609509,48.42130126,49.90334879,51.98281387,52.09134267,51.08548516,50.3577031,48.91922905,47.98411349,48.06423468,46.53343145,46.07808925,45.02101918,46.28052436,44.6927384,40.94505794,
CHE,95.98848253,96.94712032,97.53309447,97.42036015,95.20748715,96.41258237,95.81431723,95.73169047,97.95183302,99.58185347,,,,,,,,,,,95.33029623,96.91104981,112.1946931,117.0320373,118.6287898,122.9415571,124.1108698,130.6739596,136.9150864,143.9350514,144.3070947,143.1576246,143.2638351,142.7704999,144.1968616,146.6098872,144.6754475,146.2381517,144.4861804,151.1825082,141.8636693,136.66099,137.5082672,140.8867546,142.703957,146.3753557,150.1828469,153.60419,145.8661545,155.1900428,153.9375334,156.320796,162.2302332,164.0610392,165.1240273,166.7769661,170.3855504,,,,,,,
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.08169596,74.34609828,75.83206214,76.74998578,77.63456541,78.11332337,84.07524732,100.1725681,102.6870759,99.47559066,101.8634854,104.2666865,106.0396906,109.0592628,110.1213984,111.3122092,113.5849147,118.1692293,124.6920406,123.9980956,108.7788065,112.8154164,
CHN,,,,,,,,,,,,,,,,,,51.17846154,50.28947,49.74083756,52.62686281,56.01283696,56.80441294,56.98626893,60.72128322,66.1922673,75.97419675,78.0370949,73.98362365,77.13328992,86.20046136,88.36239345,86.37288169,96.90263442,85.88258577,84.2060507,89.45558158,96.72581944,105.1932233,110.3835246,111.1229709,110.0445907,117.4986986,125.6714326,118.636103,111.8429248,109.1583872,105.7875085,102.0035662,124.4080089,126.5794942,123.0959272,128.922639,134.3192514,140.236887,152.5944998,156.2299435,154.8950517,157.8120786,165.3903696,182.868059,177.2674301,185.3634871,
CIV,,,18.70924739,19.59574972,20.97165695,19.84472081,19.14546939,20.55930884,20.65258465,22.3368181,23.03753358,25.52728026,28.51534039,31.36648172,32.982409,35.05332665,34.9174127,39.05600333,38.74018276,40.4092767,40.76189665,41.76311576,41.11196106,42.26379672,36.4147866,34.05086765,33.86367685,37.93906682,37.65785241,35.54779411,36.49501454,36.01034154,32.05944863,28.65582463,18.52206714,18.50463231,11.23564537,11.10128195,10.25233579,9.471890154,9.761974872,9.444312816,9.641545205,9.025656486,9.48303012,8.854635466,10.14936881,12.15520837,12.03231221,12.69928287,13.08787196,13.16814883,13.68345554,14.3175686,14.69069981,16.74171163,17.6694308,19.25051348,19.27482783,19.20171576,20.58852969,21.28387978,21.12322184,
CMR,9.70117467,9.812598556,11.58727824,13.30110974,14.06723222,13.69924775,14.31372568,14.84151158,13.44440109,13.82243987,14.20584591,14.13917449,15.27353479,15.31288297,17.1952632,18.74653057,20.80649707,24.53117521,25.35829667,25.71280981,29.54283126,31.15564539,31.24234681,30.89243834,25.23095413,22.87880843,24.01781574,25.86899243,24.39344089,25.07278465,26.37738605,26.41865716,12.52026432,8.048956956,7.476409612,6.848254066,6.799911553,5.528166782,6.433485296,6.763599694,7.24834771,7.840749159,8.063339602,8.23854971,7.795419524,8.402862426,8.123532984,8.285086704,9.239715279,9.643957385,10.77793742,12.32636507,12.41202001,12.96113749,13.72783643,14.19039309,14.37066405,14.06334615,14.68207763,,,,,
COD,,,,1.338577668,1.956021198,1.498702573,1.698113114,1.54138317,1.051664257,1.055666865,1.683908044,1.925664862,2.773946476,3.274773737,4.582185304,5.518386149,4.659599733,4.796283071,4.909831426,3.205617758,2.742176395,2.315371146,2.421882579,1.986517681,1.589142832,1.562430082,2.233163879,2.832732168,2.377497904,1.997824715,1.809679788,0.683666,0.926181883,1.210995542,1.056857111,1.063120141,,,,,0.776252724,0.543904071,0.491387512,0.795986809,1.09523594,1.201066005,2.083264541,2.646868025,4.988962405,5.300218016,3.723918529,4.02297417,4.811335548,5.246501339,5.717980421,6.285511127,7.392788699,5.465839695,5.804400516,6.003603089,7.450403357,7.221114191,,
